Unnamed: 0,Close,Date,High,Low,Market Cap,Open,Volume
76,728.92,"Mar 09, 2018",729.16,648.11,68863600000,702.2,2233020000
77,704.6,"Mar 08, 2018",773.77,696.17,73788400000,752.57,1891640000
78,752.83,"Mar 07, 2018",825.61,726.55,80017300000,816.27,2175420000
79,816.95,"Mar 06, 2018",853.82,809.93,83680400000,853.82,1943070000
80,853.68,"Mar 05, 2018",869.92,853.52,84939700000,866.85,1898490000
81,866.68,"Mar 04, 2018",867.95,840.28,83877800000,856.19,1697940000
82,857.23,"Mar 03, 2018",868.45,855.21,83911700000,856.71,1699370000
83,856.85,"Mar 02, 2018",876.38,852.42,85368100000,871.76,1894420000
84,872.2,"Mar 01, 2018",880.3,851.92,83808200000,856.01,1868520000
85,855.2,"Feb 28, 2018",890.11,855.12,85936400000,877.93,1963980000
86,878.26,"Feb 27, 2018",896.26,867.1,85177800000,870.37,2053980000
87,869.32,"Feb 26, 2018",880.39,842.32,82705400000,845.28,2044480000
88,844.81,"Feb 25, 2018",853.15,822.38,82119100000,839.46,1646960000
89,840.51,"Feb 24, 2018",879.53,818.55,84266700000,861.59,1926580000
90,864.19,"Feb 23, 2018",886.32,794.79,79358900000,811.59,2334820000
91,812.85,"Feb 22, 2018",875.93,802.67,83025800000,849.26,2150370000
92,849.97,"Feb 21, 2018",912.38,830.56,87394200000,894.13,2531730000
93,895.37,"Feb 20, 2018",965.26,892.95,92206500000,943.57,2545260000
94,943.87,"Feb 19, 2018",957.78,921.55,90047700000,921.67,2169020000
95,923.92,"Feb 18, 2018",982.93,915.45,95077100000,973.35,2567290000
96,974.12,"Feb 17, 2018",976.6,940.75,92264000000,944.75,2525720000
97,944.21,"Feb 16, 2018",950.0,917.85,91272100000,934.79,2369450000
98,936.98,"Feb 15, 2018",951.95,911.11,90173300000,923.73,2900100000
99,923.56,"Feb 14, 2018",926.43,844.28,82400600000,844.28,2818370000
100,845.26,"Feb 13, 2018",870.71,828.84,84824200000,869.29,2081170000
101,868.71,"Feb 12, 2018",875.94,817.51,79754400000,817.51,2243450000
102,814.66,"Feb 11, 2018",859.29,788.22,83813000000,859.29,2486650000
103,860.41,"Feb 10, 2018",917.4,825.58,86055600000,882.47,2930530000
104,883.87,"Feb 09, 2018",884.0,788.83,79799300000,818.48,2495820000
105,817.81,"Feb 08, 2018",845.09,755.84,73676900000,755.84,3708190000
106,757.07,"Feb 07, 2018",851.2,723.43,77032000000,790.43,3896180000
107,793.12,"Feb 06, 2018",796.44,574.42,68958700000,707.74,6518270000
108,697.95,"Feb 05, 2018",856.65,644.6,81337400000,834.96,4269530000
109,834.68,"Feb 04, 2018",969.03,805.06,93953400000,964.67,2997090000
110,964.02,"Feb 03, 2018",991.94,847.69,89507600000,919.21,3243480000
111,915.78,"Feb 02, 2018",1035.77,757.98,100836000000,1035.77,6713290000
112,1036.79,"Feb 01, 2018",1161.35,984.82,108952000000,1119.37,5261680000
113,1118.31,"Jan 31, 2018",1128.66,1034.5,104231000000,1071.09,3757560000
114,1071.13,"Jan 30, 2018",1184.63,1058.97,115207000000,1184.13,4107860000
115,1182.36,"Jan 29, 2018",1256.7,1169.08,121269000000,1246.7,3715080000
116,1246.01,"Jan 28, 2018",1257.77,1111.78,108122000000,1111.78,5372330000
117,1107.07,"Jan 27, 2018",1121.98,1042.12,102651000000,1055.75,3002870000
118,1055.17,"Jan 26, 2018",1080.6,996.78,102334000000,1052.7,3617690000
119,1056.03,"Jan 25, 2018",1104.66,1034.74,103335000000,1063.22,4050190000
120,1058.78,"Jan 24, 2018",1062.44,965.81,95952700000,987.48,3944040000
121,986.23,"Jan 23, 2018",1023.23,920.54,97554300000,1004.17,3556700000
122,1003.26,"Jan 22, 2018",1089.1,930.74,102504000000,1055.35,3810100000
123,1049.58,"Jan 21, 2018",1155.68,1021.5,112226000000,1155.68,3378090000
124,1155.15,"Jan 20, 2018",1167.11,1044.95,101451000000,1044.95,3975190000
125,1039.1,"Jan 19, 2018",1093.22,1003.71,99863900000,1028.82,4084450000
126,1036.28,"Jan 18, 2018",1100.31,967.76,98642100000,1016.44,5938320000
127,1014.25,"Jan 17, 2018",1090.23,780.92,102974000000,1061.34,8545160000
128,1053.69,"Jan 16, 2018",1292.63,875.54,125389000000,1292.63,8405140000
129,1291.92,"Jan 15, 2018",1390.59,1290.6,132404000000,1365.21,4781100000
130,1366.77,"Jan 14, 2018",1400.56,1286.21,135503000000,1397.48,4841630000
131,1396.42,"Jan 13, 2018",1432.88,1270.47,123163000000,1270.47,5746760000
132,1273.2,"Jan 12, 2018",1296.04,1120.09,112263000000,1158.29,5222300000
133,1154.93,"Jan 11, 2018",1337.3,1135.17,122879000000,1268.09,7235900000
134,1255.82,"Jan 10, 2018",1417.38,1226.6,125976000000,1300.34,9214950000
135,1299.74,"Jan 09, 2018",1320.98,1145.49,110999000000,1146.0,7965460000
136,1148.53,"Jan 08, 2018",1266.93,1016.05,112164000000,1158.26,8450970000
137,1153.17,"Jan 07, 2018",1153.17,1043.01,100981000000,1043.01,5569880000
138,1041.68,"Jan 06, 2018",1060.71,994.62,96326500000,995.15,4662220000
139,997.72,"Jan 05, 2018",1075.39,956.33,94423900000,975.75,6683150000
140,980.92,"Jan 04, 2018",1045.08,946.09,93049400000,961.71,6502860000
141,962.72,"Jan 03, 2018",974.47,868.45,85703500000,886.0,5093160000
142,884.44,"Jan 02, 2018",914.83,772.35,74695700000,772.35,5783350000
143,772.64,"Jan 01, 2018",782.53,742.0,73075800000,755.76,2595760000
144,756.73,"Dec 31, 2017",760.35,710.12,68850800000,712.21,2554270000
145,717.26,"Dec 30, 2017",753.82,685.23,72856900000,753.82,3187780000
146,753.59,"Dec 29, 2017",770.12,729.61,71544300000,740.39,2648970000
147,737.02,"Dec 28, 2017",763.32,701.19,73637100000,762.21,2389150000
148,762.84,"Dec 27, 2017",789.25,738.41,74854100000,774.97,2100030000
149,773.84,"Dec 26, 2017",786.79,760.93,73717800000,763.37,2201160000
150,765.83,"Dec 25, 2017",782.52,698.87,67475100000,698.87,2491760000
151,694.15,"Dec 24, 2017",721.77,614.92,69671200000,721.77,2300550000
152,719.39,"Dec 23, 2017",763.89,679.73,65752100000,681.32,2480340000
153,674.86,"Dec 22, 2017",827.68,543.76,79374400000,822.64,4977710000
154,821.06,"Dec 21, 2017",880.54,792.69,79125300000,820.24,3569060000
155,819.09,"Dec 20, 2017",845.06,756.0,79810600000,827.52,3969940000
156,826.82,"Dec 19, 2017",881.94,785.34,76552200000,793.9,4096550000
157,794.64,"Dec 18, 2017",803.93,689.23,69578400000,721.73,3249230000
158,719.98,"Dec 17, 2017",735.83,696.24,67106400000,696.24,2147390000
159,696.21,"Dec 16, 2017",718.38,680.79,66124200000,686.19,2165690000
160,684.45,"Dec 15, 2017",697.13,621.06,67090900000,696.38,2758710000
161,695.82,"Dec 14, 2017",753.12,664.99,67482900000,700.59,3821580000
162,702.77,"Dec 13, 2017",747.99,597.8,62105600000,644.91,4524540000
163,651.43,"Dec 12, 2017",657.32,504.49,50286400000,522.29,5179830000
164,515.14,"Dec 11, 2017",516.97,439.1,42389300000,440.36,1771440000
165,441.72,"Dec 10, 2017",472.79,429.51,45501400000,472.79,1404180000
166,473.5,"Dec 09, 2017",504.15,456.25,44005600000,457.34,2003850000
167,456.03,"Dec 08, 2017",466.06,422.37,41845800000,434.99,2336380000
168,434.41,"Dec 07, 2017",441.4,414.41,41007600000,426.37,2129570000
169,428.59,"Dec 06, 2017",462.71,420.21,44483100000,462.6,1998260000
170,463.28,"Dec 05, 2017",473.56,457.66,45212800000,470.29,1216720000
171,470.2,"Dec 04, 2017",474.78,453.31,44795700000,466.05,1005550000
172,465.85,"Dec 03, 2017",482.81,451.85,44560500000,463.7,990557000
173,463.45,"Dec 02, 2017",476.24,456.65,44853300000,466.85,943650000
174,466.54,"Dec 01, 2017",472.61,428.31,42765000000,445.21,1247880000
175,447.11,"Nov 30, 2017",465.5,401.24,41411900000,431.21,1903040000
176,427.52,"Nov 29, 2017",522.31,425.07,45442100000,473.28,2675940000
177,472.9,"Nov 28, 2017",482.48,466.35,46127200000,480.52,1346500000
178,480.36,"Nov 27, 2017",493.4,468.49,45255000000,471.53,1396480000
179,471.33,"Nov 26, 2017",472.72,451.61,44712100000,465.97,1197780000
180,466.28,"Nov 25, 2017",485.19,461.05,45633400000,475.68,1422080000
